[     431ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_0wczimo._.js:2971
[     607ms] [LOG] [Fast Refresh] done in 278ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_0wczimo._.js:2971
[    1841ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_0wczimo._.js:2971
[    1932ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_0wczimo._.js:2971
[   10171ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   11203ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   12207ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   13214ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   14220ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   15224ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   20232ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   25244ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   30265ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   35303ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   40359ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   45450ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
[   50650ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7QwEeWtr0Z2pzs2kfFD0E' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13462
